Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,1.156786,1.390893,1.117857,1.373214,1.180831,25708244800
2005-02-01,1.375893,1.622857,1.367500,1.602143,1.377687,21448946400
2005-03-01,1.606786,1.611071,1.386786,1.488214,1.279720,14675920000
2005-04-01,1.503214,1.587500,1.214286,1.287857,1.107432,19375518400
2005-05-01,1.293214,1.462143,1.182500,1.420000,1.221062,12858294400
2005-06-01,1.424643,1.455714,1.268571,1.314643,1.130465,11327195600
2005-07-01,1.315357,1.585000,1.296071,1.523214,1.309816,10094246400
2005-08-01,1.520357,1.726071,1.500714,1.674643,1.440030,9400806800
2005-09-01,1.678571,1.948571,1.646071,1.914643,1.646407,12347770400
2005-10-01,1.934286,2.070714,1.709643,2.056786,1.768636,18643447200
2005-11-01,2.044286,2.538214,2.031071,2.422143,2.082808,13456427600
2005-12-01,2.462500,2.695000,2.457500,2.567500,2.207800,13064164400
2006-01-01,2.585000,3.085714,2.531071,2.696786,2.318974,21878371200
2006-02-01,2.676786,2.730714,2.246429,2.446071,2.103383,18760697200
2006-03-01,2.458571,2.499643,2.059643,2.240000,1.926182,23192632400
2006-04-01,2.273929,2.573214,2.180357,2.513929,2.161735,20119282400
2006-05-01,2.527500,2.635714,2.096071,2.134643,1.835586,15608779200
2006-06-01,2.137500,2.253571,1.978929,2.045357,1.758808,17936623600
2006-07-01,2.054286,2.451071,1.791429,2.427143,2.087107,17479742000
2006-08-01,2.400714,2.500000,2.235000,2.423214,2.083728,17887646000
2006-09-01,2.445714,2.777857,2.422143,2.749286,2.364119,17721558400
2006-10-01,2.682143,2.950000,2.592857,2.895714,2.490033,14387956800
2006-11-01,2.896429,3.327143,2.778214,3.273571,2.814953,13834884000
2006-12-01,3.278571,3.297500,2.741786,3.030000,2.605506,16890792800
2007-01-01,3.081786,3.492857,2.925000,3.061786,2.632838,27209781200
2007-02-01,3.079643,3.243214,2.959286,3.021786,2.598442,13722354800
2007-03-01,3.001071,3.458214,2.991071,3.318214,2.853341,15918644000
2007-04-01,3.362143,3.660714,3.200000,3.564286,3.064940,13459740000
2007-05-01,3.556786,4.363214,3.519643,4.328214,3.721843,17365068000
2007-06-01,4.325000,4.557500,4.121429,4.358571,3.747947,23279541600
2007-07-01,4.323214,5.318571,4.260714,4.705714,4.046457,24018573600
2007-08-01,4.772857,4.987500,3.986429,4.945714,4.252835,24360798000
2007-09-01,4.997857,5.535714,4.642857,5.481071,4.713190,20931223600
2007-10-01,5.522500,6.790000,5.461786,6.783929,5.833519,23277791600
2007-11-01,6.735714,6.881429,5.379643,6.507857,5.596126,26199790400
2007-12-01,6.495000,7.248571,6.321071,7.074286,6.083199,17252678800
2008-01-01,7.116786,7.152143,4.505000,4.834286,4.157016,35173888400
2008-02-01,4.865714,4.878214,4.122857,4.465000,3.839467,24865954400
2008-03-01,4.444286,5.205000,4.214286,5.125000,4.407002,22927273600
2008-04-01,5.225000,6.428571,5.128929,6.212500,5.342147,22786982400
2008-05-01,6.248571,6.865714,6.142857,6.741071,5.796667,18588214400
2008-06-01,6.735714,6.783929,5.862500,5.980000,5.142220,19475794800
2008-07-01,5.865357,6.461071,5.233214,5.676786,4.881486,19749760800
2008-08-01,5.710714,6.444643,5.461071,6.054643,5.206404,13085755200
2008-09-01,6.157143,6.196429,3.592500,4.059286,3.490591,24067562400
2008-10-01,3.997143,4.157143,3.035714,3.842500,3.304176,41426711200
2008-11-01,3.783214,3.992500,2.826429,3.309643,2.845972,23619461600
2008-12-01,3.260714,3.700000,3.019643,3.048214,2.621168,20213846800
