Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,52.230000,54.419998,51.340000,53.700001,34.092033,74653600
2005-02-01,53.450001,55.709999,52.849998,53.860001,34.193634,65597900
2005-03-01,53.799999,54.349998,51.750000,53.029999,33.666676,76160800
2005-04-01,53.299999,55.700001,52.509998,55.639999,35.475227,87740900
2005-05-01,55.349998,57.200001,55.349998,56.259998,35.870525,72623200
2005-06-01,56.150002,57.040001,53.750000,53.930000,34.384945,75586800
2005-07-01,53.000000,55.790001,52.070000,54.529999,34.929966,90193400
2005-08-01,53.950001,55.630001,53.750000,54.849998,35.134937,72312000
2005-09-01,54.700001,57.029999,53.549999,56.709999,36.326408,84044500
2005-10-01,56.709999,59.389999,56.360001,59.080002,38.023670,94761300
2005-11-01,59.000000,60.099998,57.720001,59.200001,38.100899,76990500
2005-12-01,59.849998,60.340000,58.689999,59.080002,38.023670,63374000
2006-01-01,59.919998,59.970001,56.000000,57.180000,36.961773,75013300
2006-02-01,56.810001,59.900002,56.529999,59.110001,38.209351,77367000
2006-03-01,59.040001,60.549999,57.740002,57.790001,37.356094,85047900
2006-04-01,58.240002,58.650002,56.509998,58.240002,37.811493,80296400
2006-05-01,58.250000,60.770000,57.689999,60.459999,39.252785,97511700
2006-06-01,60.369999,61.189999,58.549999,60.040001,38.980099,91102800
2006-07-01,60.599998,63.980000,60.070000,63.380001,41.353535,88449100
2006-08-01,63.200001,65.989998,62.310001,65.279999,42.593231,83440900
2006-09-01,65.720001,65.989998,64.050003,65.260002,42.580189,74542900
2006-10-01,65.190002,65.300003,61.950001,63.439999,41.584026,111181400
2006-11-01,63.369999,63.750000,61.150002,61.970001,40.620468,101197600
2006-12-01,62.000000,64.169998,61.459999,62.549999,41.000641,79281000
2007-01-01,62.700001,65.540001,62.290001,65.239998,42.964775,102136600
2007-02-01,65.000000,65.389999,62.500000,63.150002,41.588371,106813600
2007-03-01,62.750000,64.330002,61.889999,63.560001,41.858376,123661100
2007-04-01,63.150002,67.400002,62.869999,66.089996,43.731941,120272600
2007-05-01,66.150002,69.639999,65.970001,68.330002,45.214153,114092200
2007-06-01,68.650002,68.959999,64.250000,64.849998,42.911415,121884200
2007-07-01,65.379997,68.959999,64.250000,65.620003,43.663071,168929100
2007-08-01,65.110001,70.250000,65.099998,68.029999,45.266670,142197300
2007-09-01,68.339996,73.290001,66.629997,73.260002,48.746693,111300400
2007-10-01,73.540001,74.320000,69.980003,73.720001,49.322338,129902300
2007-11-01,73.489998,77.410004,72.000000,77.180000,51.637249,125057600
2007-12-01,77.510002,79.000000,75.620003,75.900002,50.780869,95676900
2008-01-01,76.410004,79.790001,66.300003,68.050003,45.752670,181747100
2008-02-01,68.339996,72.750000,66.320000,69.559998,46.767895,137175100
2008-03-01,69.550003,72.349998,67.949997,72.199997,48.542877,122879100
2008-04-01,71.889999,72.169998,67.209999,68.529999,46.323410,134345300
2008-05-01,68.459999,69.820000,66.809998,68.300003,46.167950,125378800
2008-06-01,68.110001,68.269997,63.310001,63.590000,42.984180,169473600
2008-07-01,63.279999,68.019997,63.279999,66.559998,45.278763,167346700
2008-08-01,66.820000,70.830002,66.360001,68.480003,46.584892,120167900
2008-09-01,68.889999,75.250000,68.139999,71.269997,48.482864,189218100
2008-10-01,70.660004,72.239998,50.410000,57.009998,39.020935,317682300
2008-11-01,56.970001,59.230000,49.740002,56.700001,38.808769,186465600
2008-12-01,55.560001,56.400002,51.009998,54.770000,37.487766,155720500
