Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,39.480000,39.689999,36.509998,37.330002,23.970383,231082900
2005-02-01,37.500000,38.070000,35.900002,36.549999,23.675135,203306200
2005-03-01,37.000000,37.790001,34.320000,34.599998,22.412027,266804300
2005-04-01,34.790001,35.880001,33.349998,35.490002,22.988529,274126100
2005-05-01,35.580002,36.299999,34.110001,35.750000,23.389126,199696300
2005-06-01,35.560001,36.500000,35.009998,35.320000,23.107803,197370200
2005-07-01,35.220001,35.950001,34.299999,35.139999,22.990034,187460100
2005-08-01,35.320000,35.650002,33.310001,33.889999,22.387747,193472900
2005-09-01,33.750000,35.000000,33.500000,33.930000,22.414165,211341400
2005-10-01,34.189999,36.799999,32.919998,36.619999,24.191189,269054600
2005-11-01,36.790001,39.180000,36.580002,38.250000,25.522287,237640300
2005-12-01,38.520000,40.560001,38.320000,39.689999,26.483124,200859300
2006-01-01,39.830002,40.869999,37.880001,39.750000,26.523157,262471900
2006-02-01,39.880001,41.950001,39.049999,41.139999,27.684847,189953500
2006-03-01,41.160000,42.430000,40.869999,41.639999,28.021320,254538100
2006-04-01,41.950001,45.900002,41.480000,45.380001,30.538124,208177900
2006-05-01,45.380001,46.799999,41.590000,42.639999,28.928839,262343700
2006-06-01,42.750000,44.200001,39.330002,42.000000,28.494637,271716100
2006-07-01,42.049999,45.709999,40.400002,45.619999,30.950598,239719400
2006-08-01,45.790001,46.099998,43.500000,45.660000,31.230560,198516600
2006-09-01,45.849998,47.490002,44.680000,46.959999,32.119728,182171700
2006-10-01,46.959999,48.570000,46.369999,47.439999,32.448040,247025600
2006-11-01,47.750000,48.049999,45.779999,46.279999,31.881638,184245600
2006-12-01,46.500000,49.000000,45.509998,48.299999,33.273182,204996600
2007-01-01,48.000000,51.160000,47.320000,50.930000,35.084942,255322500
2007-02-01,50.959999,51.950001,47.599998,49.389999,34.265263,217186600
2007-03-01,48.980000,49.650002,45.910000,48.380001,33.564564,354058700
2007-04-01,48.380001,53.060001,47.700001,52.099998,36.145390,301906400
2007-05-01,52.400002,53.250000,51.259998,51.830002,36.213306,242848700
2007-06-01,51.919998,52.080002,48.060001,48.450001,33.851715,323308000
2007-07-01,48.900002,50.480000,43.500000,44.009998,30.749523,517826100
2007-08-01,43.700001,48.290001,42.160000,44.520000,31.348225,670058600
2007-09-01,44.400002,48.060001,43.200001,45.820000,32.263599,347252900
2007-10-01,45.470001,47.880001,44.599998,47.000000,33.094494,427511900
2007-11-01,45.650002,46.320000,40.150002,45.619999,32.383705,632312100
2007-12-01,45.900002,48.020000,42.790001,43.650002,30.985285,462894600
2008-01-01,43.549999,49.290001,37.660000,47.400002,33.647259,894659000
2008-02-01,47.259998,48.700001,40.380001,40.650002,29.109118,630381200
2008-03-01,40.549999,48.160000,36.009998,42.950001,30.756136,1076808500
2008-04-01,45.130001,48.639999,41.169998,47.650002,34.121777,707297700
2008-05-01,47.680000,49.950001,41.900002,43.000000,31.042925,563598400
2008-06-01,42.630001,42.770000,33.959999,34.310001,24.769375,939120600
2008-07-01,33.689999,43.000000,29.240000,40.630001,29.331963,1268229800
2008-08-01,41.110001,42.849998,35.000000,38.490002,28.098238,750472600
2008-09-01,39.560001,49.000000,34.040001,46.700001,34.091648,1386597500
2008-10-01,46.910000,50.630001,32.520000,41.250000,30.113073,1587863300
2008-11-01,41.250000,42.500000,19.690001,31.660000,23.290562,1436151000
2008-12-01,30.670000,37.700001,24.610001,31.530001,23.194935,1154247300
