Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,53.750000,54.599998,52.220001,52.400002,36.646282,183923700
2005-02-01,52.400002,53.740002,51.099998,51.610001,36.093784,181560100
2005-03-01,52.009998,53.490002,50.060001,50.110001,35.044735,373812500
2005-04-01,50.250000,50.500000,46.200001,47.139999,33.064846,337397100
2005-05-01,47.480000,49.459999,46.599998,47.230000,33.127968,255131200
2005-06-01,47.250000,50.299999,47.209999,48.200001,33.916618,238335200
2005-07-01,48.250000,50.689999,48.150002,49.349998,34.725807,183397900
2005-08-01,49.619999,49.869999,44.700001,44.959999,31.636732,280401100
2005-09-01,44.950001,46.480000,42.310001,43.820000,30.932077,445029400
2005-10-01,44.150002,47.549999,43.299999,47.310001,33.395641,309168500
2005-11-01,47.119999,50.869999,46.610001,48.560001,34.277988,267771900
2005-12-01,48.590000,49.740002,46.750000,46.799999,33.035656,258541900
2006-01-01,46.360001,46.950001,44.540001,46.110001,32.647568,322518700
2006-02-01,46.049999,47.020000,44.520000,45.360001,32.116558,236340600
2006-03-01,45.360001,48.869999,44.860001,47.240002,33.447651,267987900
2006-04-01,47.270000,47.310001,44.990002,45.029999,32.000938,197107100
2006-05-01,45.919998,50.000000,45.540001,48.450001,34.431385,302008400
2006-06-01,48.250000,49.189999,46.549999,48.169998,34.352455,245733000
2006-07-01,47.750000,48.049999,42.310001,44.500000,31.735216,269589700
2006-08-01,44.349998,45.450001,43.480000,44.720001,31.892101,237088700
2006-09-01,45.000000,49.950001,44.020000,49.320000,35.305725,265210400
2006-10-01,48.619999,52.150002,47.639999,49.279999,35.277092,365494300
2006-11-01,49.380001,49.700001,45.970001,46.099998,33.000687,371959900
2006-12-01,46.000000,46.889999,44.799999,46.180000,33.057957,278046300
2007-01-01,47.090000,48.779999,46.509998,47.689999,34.265007,289921200
2007-02-01,47.509998,50.419998,47.439999,48.310001,34.710464,278003300
2007-03-01,47.779999,48.320000,45.060001,46.950001,33.733307,347369500
2007-04-01,47.060001,49.950001,46.830002,47.919998,34.595058,257144500
2007-05-01,47.919998,48.880001,46.320000,47.599998,34.364033,309199900
2007-06-01,47.900002,51.439999,47.689999,48.110001,34.893433,443564800
2007-07-01,48.200001,49.259998,45.730000,45.950001,33.326824,345381600
2007-08-01,46.049999,48.419998,42.919998,43.630001,31.644159,561399200
2007-09-01,43.509998,45.049999,42.090000,43.650002,31.818401,376154000
2007-10-01,43.830002,47.700001,43.270000,45.209999,32.955563,437028000
2007-11-01,44.700001,48.230000,42.500000,47.900002,34.916409,432340500
2007-12-01,47.709999,50.049999,46.869999,47.529999,34.646709,304526500
2008-01-01,47.410000,51.299999,43.110001,50.740002,37.153339,594609500
2008-02-01,50.900002,51.570000,47.840000,49.590000,36.311268,476630200
2008-03-01,49.430000,54.150002,48.639999,52.680000,38.573860,490180000
2008-04-01,53.189999,59.040001,52.810001,57.980000,42.656704,439232000
2008-05-01,58.200001,59.090000,55.049999,57.740002,42.480133,392991100
2008-06-01,57.410000,59.950001,55.849998,56.200001,41.521580,443348300
2008-07-01,56.000000,59.560001,55.340000,58.619999,43.309517,495577900
2008-08-01,58.750000,61.000000,56.810001,59.070000,43.641979,395839100
2008-09-01,59.900002,63.849998,57.740002,59.889999,44.426273,560153900
2008-10-01,59.509998,60.299999,47.400002,55.810001,41.399742,748361300
2008-11-01,56.759998,57.250000,50.200001,55.880001,41.451653,514798100
2008-12-01,55.369999,59.230000,52.220001,56.060001,41.585190,469411500
