Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,25.910816,25.948767,22.760912,22.922201,11.875577,664858139
2005-02-01,22.893738,25.806452,22.580645,24.943073,12.922560,749200276
2005-03-01,25.170778,25.939280,24.098673,24.924099,13.009474,507622526
2005-04-01,25.018974,26.783682,24.440228,25.777988,13.455166,676383946
2005-05-01,25.853889,27.457306,25.806452,26.470589,13.816684,447106167
2005-06-01,26.499050,27.713472,25.910816,26.166983,13.752682,557478306
2005-07-01,25.474382,26.394688,24.857685,25.142315,13.214143,560553775
2005-08-01,25.597723,25.597723,23.491461,24.174574,12.705521,506696060
2005-09-01,24.155598,25.284630,23.406073,23.690702,12.540456,528477285
2005-10-01,23.889942,24.259962,19.648956,20.626186,10.918279,869974341
2005-11-01,20.635674,21.451612,20.085388,20.113852,10.647081,703705310
2005-12-01,20.180265,23.908918,19.231499,22.125237,11.812568,980975611
2006-01-01,22.438330,24.990513,22.390892,24.364326,13.008008,750441781
2006-02-01,24.430740,25.464895,23.671726,24.848198,13.266349,612834074
2006-03-01,24.762808,25.237192,23.557875,23.643265,12.744510,559360119
2006-04-01,23.804554,24.136621,22.941175,24.032257,12.954189,467020337
2006-05-01,24.193548,24.402277,22.314991,22.447819,12.100128,595874790
2006-06-01,22.609108,23.159393,21.356735,22.267551,12.116953,650777649
2006-07-01,22.333965,25.294119,21.024668,24.658443,13.417964,622999374
2006-08-01,24.705881,26.451612,24.022770,26.148008,14.228516,660775260
2006-09-01,26.366224,27.115749,25.920303,26.907021,14.777099,507930398
2006-10-01,26.755219,27.134726,25.028463,25.284630,13.886097,789692109
2006-11-01,25.332067,26.451612,23.719166,26.081594,14.323780,872034387
2006-12-01,26.195446,26.432638,22.296015,24.573055,13.615042,1156432988
2007-01-01,24.810247,26.005693,24.459204,24.895636,13.793779,759567840
2007-02-01,25.037951,25.616697,23.662239,23.681213,13.120906,634169348
2007-03-01,23.576851,24.629980,23.292219,23.965843,13.423704,822970262
2007-04-01,23.937382,25.844402,23.937382,25.104364,14.061413,784105909
2007-05-01,25.009487,26.214420,24.933586,26.081594,14.608780,794710204
2007-06-01,26.119545,26.309298,24.013283,24.259962,13.734076,926489714
2007-07-01,24.383303,24.810247,22.296015,22.305504,12.627613,984387831
2007-08-01,22.305504,23.719166,21.944971,23.567362,13.341973,1080217617
2007-09-01,23.510435,23.880455,22.628082,23.178368,13.279916,738035043
2007-10-01,23.197344,24.392790,22.163189,23.349146,13.377767,870987866
2007-11-01,23.320683,23.339659,21.100569,22.542694,12.915711,961511818
2007-12-01,22.409866,23.244781,21.527514,21.565466,12.507386,759132537
2008-01-01,21.593927,22.998102,20.455408,22.163189,12.854051,1139717500
2008-02-01,22.201139,22.571157,20.901327,21.138519,12.259773,821800638
2008-03-01,21.271347,21.290323,19.155598,19.857685,11.679704,865433391
2008-04-01,19.971537,20.493359,18.776091,19.079697,11.222112,1012065765
2008-05-01,19.136621,19.592030,18.178368,18.368120,10.803588,1021453749
2008-06-01,18.434534,18.462997,16.242884,16.574953,9.904104,1327660665
2008-07-01,16.537003,18.263758,16.375711,17.713472,10.584410,1081441419
2008-08-01,17.846300,19.098673,17.580645,18.130930,10.833858,823143224
2008-09-01,18.311195,18.586338,16.280834,17.495256,10.626545,1221139419
2008-10-01,17.324478,18.396584,13.576850,16.802656,10.205861,1927483215
2008-11-01,16.935484,17.504744,13.529412,15.588235,9.468227,1077349789
2008-12-01,15.351044,17.049335,14.421252,16.802656,10.386397,1041836734
